1	137
1	140
1	195
1	199
1	236
1	333
1	477
1	625
1	626
1	638
1	735
1	755
1	780
1	821
1	854
1	861
1	950
1	953
1	959
1	968
2	58
2	102
2	165
2	390
2	406
2	420
2	451
2	542
2	615
2	704
2	768
2	771
2	784
2	785
2	810
2	853
2	869
2	902
2	948
2	998
3	40
3	66
3	136
3	175
3	177
3	184
3	190
3	327
3	439
3	455
3	587
3	700
3	735
3	755
3	775
3	864
3	903
3	931
3	932
3	934
4	110
4	201
4	254
4	277
4	323
4	337
4	399
4	482
4	489
4	520
4	608
4	665
4	695
4	808
4	826
4	841
4	842
4	925
4	947
4	1000
5	130
5	143
5	186
5	211
5	320
5	343
5	492
5	497
5	576
5	583
5	684
5	717
5	774
5	793
5	895
5	898
5	908
5	925
5	937
5	989
6	8
6	33
6	94
6	145
6	152
6	160
6	281
6	327
6	345
6	395
6	403
6	411
6	443
6	490
6	568
6	658
6	723
6	932
6	983
6	984
7	23
7	42
7	129
7	132
7	199
7	344
7	392
7	484
7	529
7	549
7	558
7	602
7	614
7	671
7	672
7	818
7	823
7	832
7	834
7	981
8	6
8	38
8	125
8	128
8	148
8	199
8	292
8	331
8	432
8	472
8	484
8	581
8	585
8	768
8	805
8	814
8	915
8	954
8	969
8	990
9	335
9	345
9	439
9	488
9	561
9	598
9	659
9	712
9	791
9	809
9	814
9	817
9	877
9	878
9	922
9	928
9	960
9	973
9	974
9	992
10	50
10	98
10	100
10	360
10	543
10	564
10	566
10	582
10	614
10	615
10	773
10	786
10	807
10	835
10	844
10	846
10	894
10	919
10	980
10	984
11	48
11	84
11	88
11	137
11	257
11	331
11	344
11	378
11	544
11	565
11	591
11	633
11	637
11	663
11	707
11	739
11	755
11	869
11	942
11	955
12	227
12	315
12	319
12	443
12	449
12	531
12	570
12	578
12	712
12	791
12	797
12	802
12	834
12	870
12	890
12	922
12	928
12	974
12	975
12	993
13	27
13	105
13	134
13	180
13	224
13	233
13	430
13	435
13	473
13	503
13	578
13	611
13	738
13	792
13	820
13	825
13	861
13	873
13	879
13	969
14	159
14	242
14	340
14	409
14	492
14	506
14	571
14	575
14	642
14	644
14	655
14	696
14	748
14	754
14	787
14	815
14	816
14	823
14	872
14	985
15	63
15	104
15	113
15	202
15	353
15	366
15	463
15	496
15	508
15	657
15	669
15	730
15	845
15	901
15	949
15	971
15	981
15	983
15	984
15	996
16	34
16	87
16	123
16	271
16	348
16	432
